gage,gagedFlowline,NHDWaterbodyComID,lakeLink,SiteName,RFC
STPC1,8933230,120053476,8934442, ,CNRFC
PSRC1,8933720,8932974,8934488,Prosser Creek Reservoir at Prosser Creek,CNRFC
SFSU1,3907377,3906255,0,SCOFIELD RESERVOIR NEAR SCOFIELD,CBRFC
MLSU1,4876845,4876263,4877561, ,CBRFC
MDCC2,1337204,1336910,1338026, ,CBRFC
TRBC2,1333490,1332558,1333610, ,CBRFC
BLRC2,1312847,1312051,1313385, ,CBRFC
WLSK1,7331754,7330556,7331754, ,MBRFC
MLFK1,5927296,167800866,5927296,MILFORD LK NR JUNCTION CITY KS,MBRFC
MTTK1,2281171,18880944,2281171, ,MBRFC
PRRK1,748101,746373,748101, ,MBRFC
CLIK1,24668460,3730511,24668460,CLINTON LK NR LAWRENCE KS,MBRFC
SLKM7,2530631,2529647,2530631,Smithville Reservoir other Reservoirs,MBRFC
LBRM7,4461528,4460822,4461528, ,MBRFC
STJW2,3717136,167484418,167484406,Stonewall Jackson Dam,OHRFC
TGOW2,4352134,166899099,4352136, ,OHRFC
YGOP1,3809037,3806779,3809045, ,OHRFC
CMDP1,4754924,167484295,4754908,CONEMAUGH RIVER AT TUNNELTON PA,OHRFC
CCDP1,4741239,4739601,0,CROOKED CREEK AT CROOKED CREEK DAM NEAR FORD CITY,OHRFC
LHDP1,4583044,167484347,0,LOYALHANNA CREEK AT LOYALHANNA DAM PA,OHRFC
RADI4,940280022,120053324,0,Rathbun Dam,MBRFC
CBGC2,1234513,1233515,0,COLORADO RIVER NEAR GRANBY CO,CBRFC
WCKC2,1234173,1233595,0,WILLOW CREEK BELOW WILLOW CREEK RESERVOIR (WILWCRCO),CBRFC
WFRC2,1232803,1230577,1232989,WILLIAMS FORK BELOW WILLIAMS FORK RESERVOIR CO,CBRFC
BGMC2,1313213,1311881,1313287, ,CBRFC
LAAU1,11976201,11975087,0,MOON LAKE RESERVOIR NEAR MOUNTAIN HOME,CBRFC
DCRU1,10376632,10375440,10376632, ,CBRFC
WHSC1,2782777,2781993,2782763, ,CNRFC
LLKC1,8246426,8245384,8246596, ,CNRFC
IRGC1,361671,361273,362919,Klamath River below Iron Gate Dam,CNRFC
HLZU1,664760,664014,0,Hyrum at Little Bear River,CBRFC
OPDU1,10275828,10273702,10275998, ,CBRFC
ECWU1,10093052,10091588,10093132, ,CBRFC
ECCU1,10277268,10276260,10277316,EAST CANYON CREEK NEAR MORGAN UT,CBRFC
CRDU1,10089426,10089124,10090806,LOST CREEK NEAR CROYDEN UTAH,CBRFC
BRWU1,7879744,166248016,7880842, ,CBRFC
MCWW4,3197078,120051967,0,BLACKS FORK NEAR MILLBURNE WY,CBRFC
GRZU1,10040950,10038598,10040912,Greendale near Green River (WY-UT-CO),CBRFC
SAYI4,6597700,6597410,0,Saylorville Dam Pool,NCRFC
PELI4,4995175,167121028,22249819,Red Rock Reservoir at Des Moines River,NCRFC
CRVI4,17540805,17539821,17540805, ,NCRFC
KITO1,13156205,13155459,13156523, ,OHRFC
MLPO1,13154265,13152651,13154569,"Milton Dam, Ohio",OHRFC
BRWO1,13156389,166899115,13156577, ,OHRFC
MSQO1,13153121,13152353,13154427,Mosquito Creek Lake below Mosquito Creek,OHRFC
