OBJECTID,ID,Name___Nom,Latitude,Longitude,Prov_Terr,Timezone___Fuseau_horaire,HydroID2,NEAR_FID,NEAR_DIST
194,02GA047,SPEED RIVER AT CAMBRIDGE,43.421390000000002,-80.332220000000007,ON,UTC-05:00,41001616,1621,0.000000000007843
195,02GA048,GRAND RIVER NEAR DOON,43.412810000000000,-80.417029999999997,ON,UTC-05:00,41001663,1668,0.000000003024404
196,02GA049,SMITH CREEK NEAR NEWTON,43.596370000000000,-80.894279999999995,ON,UTC-05:00,41001332,1337,0.000000000045473
197,02GB001,GRAND RIVER AT BRANTFORD,43.132779999999997,-80.267219999999995,ON,UTC-05:00,41002322,2327,0.000000000423326
198,02GB006,HORNER CREEK NEAR PRINCETON,43.173890000000000,-80.552779999999998,ON,UTC-05:00,41002214,2219,0.000000000241904
199,02GB007,FAIRCHILD CREEK NEAR BRANTFORD,43.147399999999998,-80.154600000000002,ON,UTC-05:00,41002253,2258,0.000000000732477
200,02GB008,WHITEMANS CREEK NEAR MOUNT VERNON,43.126390000000001,-80.383610000000004,ON,UTC-05:00,41002321,2326,0.000000000353761
201,02GB010,MCKENZIE CREEK NEAR CALEDONIA,43.033890000000000,-79.949719999999999,ON,UTC-05:00,41002504,2509,0.000000000903127
202,02GC002,KETTLE CREEK AT ST. THOMAS,42.777780000000000,-81.214160000000007,ON,UTC-05:00,41003721,3726,0.000000000417129
203,02GC007,BIG CREEK NEAR WALSINGHAM,42.685549999999999,-80.538610000000006,ON,UTC-05:00,41003952,3957,0.000000000224762
204,02GC008,LYNN RIVER AT SIMCOE,42.823329999999999,-80.289439999999999,ON,UTC-05:00,41003393,3398,0.000000000766327
205,02GC010,BIG OTTER CREEK AT TILLSONBURG,42.857300000000002,-80.723579999999998,ON,UTC-05:00,41003311,3316,0.000000000467201
206,02GC011,BIG CREEK NEAR KELVIN,42.986809999999998,-80.444890000000001,ON,UTC-05:00,41002721,2726,0.000000000543668
207,02GC014,YOUNG CREEK NEAR VITTORIA,42.765749999999997,-80.294579999999996,ON,UTC-05:00,41003630,3635,0.000000000155808
208,02GC017,BIG OTTER CREEK ABOVE OTTERVILLE,42.965829999999997,-80.542779999999993,ON,UTC-05:00,41002809,2814,0.000000000479287
209,02GC018,CATFISH CREEK NEAR SPARTA,42.746110000000002,-81.056950000000001,ON,UTC-05:00,41003785,3790,0.000000000152478
210,02GC021,VENISON CREEK NEAR WALSINGHAM,42.653359999999999,-80.548439999999999,ON,UTC-05:00,41004067,4072,0.000000000352475
211,02GC022,NANTICOKE CREEK AT NANTICOKE,42.810000000000002,-80.076110000000000,ON,UTC-05:00,41003427,3432,0.000000000023610
