Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,sm_profile_0.4m,sm_profile_1m,sm_profile_2m,rainmelt
157,2020-01-07 13:00:00,0.005289483,0.194718786,0.209437116,0.211677986,0.216552964,0.226145683,0.000557477
158,2020-01-07 14:00:00,0.011878675,0.194718536,0.209437116,0.211677986,0.216552964,0.226145683,0.005289484
159,2020-01-07 15:00:00,0.013778253,0.194718504,0.209439555,0.211680560,0.216555851,0.226149277,0.011878676
160,2020-01-07 16:00:00,0.013729809,0.194725228,0.209381357,0.211619150,0.216486962,0.226063543,0.013778254
161,2020-01-07 17:00:00,0.009485180,0.194735653,0.209290998,0.211523812,0.216380034,0.225930521,0.013729809
162,2020-01-07 18:00:00,0.005390579,0.194747923,0.209184428,0.211411381,0.216253964,0.225773768,0.009485180
163,2020-01-07 19:00:00,0.002404832,0.194761316,0.209067852,0.211288409,0.216116111,0.225602465,0.005390580
164,2020-01-07 20:00:00,0.000963185,0.194772762,0.208968008,0.211183099,0.215998088,0.225455887,0.002404832
165,2020-01-07 21:00:00,0.000121858,0.194775354,0.208945370,0.211159222,0.215971333,0.225422670,0.000963185
166,2020-01-07 22:00:00,0.000132641,0.194778989,0.208913604,0.211125721,0.215933795,0.225376071,0.000121858
167,2020-01-07 23:00:00,0.000082800,0.194782089,0.208886501,0.211097138,0.215901771,0.225336323,0.000132641
168,2020-01-08 00:00:00,0.000088311,0.194784633,0.208864240,0.211073661,0.215875469,0.225303682,0.000082800
169,2020-01-08 01:00:00,0.057984978,0.194786719,0.208845992,0.211054418,0.215853912,0.225276932,0.000088311
170,2020-01-08 02:00:00,0.583230734,0.194788649,0.208829090,0.211036593,0.215833944,0.225252157,0.057984983
171,2020-01-08 03:00:00,0.560236692,0.194787374,0.208840252,0.211048365,0.215847131,0.225268518,0.583230769
172,2020-01-08 04:00:00,0.128233925,0.194761061,0.209070070,0.211290749,0.216118733,0.225605722,0.560236759
173,2020-01-08 05:00:00,0.062415972,0.194735608,0.209291384,0.211524219,0.216380490,0.225931088,0.128233935
174,2020-01-08 06:00:00,0.041138612,0.194730169,0.209338553,0.211573986,0.216436305,0.226000516,0.062415973
175,2020-01-08 07:00:00,0.037525024,0.194727729,0.209359695,0.211596293,0.216461325,0.226031644,0.041138616
176,2020-01-08 08:00:00,0.150952682,0.194726406,0.209371159,0.211608389,0.216474892,0.226048524,0.037525026
177,2020-01-08 09:00:00,0.093620166,0.194725235,0.209381297,0.211619086,0.216486891,0.226063455,0.150952684
178,2020-01-08 10:00:00,0.034509730,0.194717994,0.209443972,0.211685220,0.216561079,0.226155784,0.093620171
179,2020-01-08 11:00:00,0.082673676,0.194713491,0.209482908,0.211726307,0.216607176,0.226213168,0.034509733
180,2020-01-08 12:00:00,0.078964680,0.194711827,0.209497286,0.211741480,0.216624201,0.226234365,0.082673682
181,2020-01-08 13:00:00,0.031962581,0.194707845,0.209531675,0.211777771,0.216664921,0.226285070,0.078964681
182,2020-01-08 14:00:00,0.060588561,0.194704040,0.209564521,0.211812434,0.216703819,0.226333514,0.031962583
183,2020-01-08 15:00:00,0.067875057,0.194702497,0.209577835,0.211826486,0.216719587,0.226353155,0.060588565
184,2020-01-08 16:00:00,0.057029180,0.194699573,0.209603048,0.211853095,0.216749450,0.226390356,0.067875062
185,2020-01-08 17:00:00,0.048215251,0.194701201,0.209589009,0.211838278,0.216732822,0.226369641,0.057029185
186,2020-01-08 18:00:00,0.043005057,0.194705731,0.209549929,0.211797035,0.216686537,0.226311991,0.048215253
187,2020-01-08 19:00:00,0.588379085,0.194712170,0.209494317,0.211738347,0.216620685,0.226229988,0.043005059
188,2020-01-08 20:00:00,0.137232348,0.194719059,0.209434760,0.211675500,0.216550174,0.226142211,0.588379112
189,2020-01-08 21:00:00,0.044022202,0.194695858,0.209635077,0.211886899,0.216787390,0.226437625,0.137232344
190,2020-01-08 22:00:00,0.039790854,0.194694726,0.209644831,0.211897194,0.216798945,0.226452023,0.044022207
191,2020-01-08 23:00:00,0.027263073,0.194697485,0.209621051,0.211872096,0.216770775,0.226416924,0.039790855
192,2020-01-09 00:00:00,0.022510622,0.194699658,0.209602320,0.211852327,0.216748588,0.226389281,0.027263075
193,2020-01-09 01:00:00,0.020602901,0.194702750,0.209575656,0.211824186,0.216717006,0.226349940,0.022510624
194,2020-01-09 02:00:00,0.013649054,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
